recommendation_id,recommend_date,session,rank,stock_name,stock_code,sector,score,recommend_price,latest_price,latest_update_kst,age_days,latest_return_pct,d1_return_pct,d3_return_pct,d5_return_pct,max_observed_return_pct,min_observed_return_pct,status,signal_id,snapshot_date,snapshot_time,recommendation_model,recommendation_model_name,entry_model,entry_price,source,observed_count,latest_observed_price,latest_observed_at,max_observed_price,min_observed_price,max_return_pct,min_return_pct,days_elapsed,note
2026-06-05_AM_6_라이콤,2026-06-05,AM,6,라이콤,,반도체/전자부품,80.0,"5,500","6,750",2026-06-08 19:33:30,3.0,22.73%,7.45%,34.91%,,34.91%,0.00%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-05_AM_7_KODEX 200타겟위클리커버드콜,2026-06-05,AM,7,KODEX 200타겟위클리커버드콜,,AI/소프트웨어,65.0,"25,375","23,595",2026-06-08 19:33:30,3.0,-7.01%,1.66%,-6.64%,,3.43%,-7.01%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-05_AM_8_TIGER 배당커버드콜액티브,2026-06-05,AM,8,TIGER 배당커버드콜액티브,,AI/소프트웨어,64.0,"25,170","23,315",2026-06-08 19:33:30,3.0,-7.37%,1.47%,-6.36%,,3.32%,-7.37%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-05_AM_9_SK네트웍스,2026-06-05,AM,9,SK네트웍스,,도매,69.0,"11,050","14,170",2026-06-08 19:33:30,3.0,28.24%,-1.36%,18.10%,,28.24%,-1.36%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-05_AM_10_진양화학,2026-06-05,AM,10,진양화학,,고무/플라스틱,69.0,"2,380","2,255",2026-06-05 11:49:52,0.0,-5.25%,,,,0.00%,-5.25%,tracking,,,,,,,,,,,,,,,,,
2026-06-05_AM_11_후성,2026-06-05,AM,11,후성,,화학,63.0,"11,510","11,630",2026-06-07 04:37:24,2.0,1.04%,1.04%,,,1.04%,0.00%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-05_AM_12_RISE 200위클리커버드콜,2026-06-05,AM,12,RISE 200위클리커버드콜,,AI/소프트웨어,55.0,"15,255","14,200",2026-06-08 19:33:30,3.0,-6.92%,-6.23%,-6.23%,,0.00%,-6.92%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-05_AM_13_KODEX 미국S&P500,2026-06-05,AM,13,KODEX 미국S&P500,,AI/소프트웨어,54.0,"26,377","25,695",2026-06-08 19:33:30,3.0,-2.59%,-0.37%,-1.94%,,0.18%,-2.59%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-05_AM_14_TIGER 미국S&P500,2026-06-05,AM,14,TIGER 미국S&P500,,AI/소프트웨어,54.0,"28,940","28,170",2026-06-08 19:33:30,3.0,-2.66%,-0.33%,-1.92%,,0.16%,-2.66%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-05_AM_15_LG디스플레이,2026-06-05,AM,15,LG디스플레이,,반도체/전자부품,59.0,"14,850","14,480",2026-06-08 12:15:17,3.0,-2.49%,-2.49%,-2.49%,,3.64%,-2.49%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-05_AM_2_KODEX 200타겟위클리커버드콜,2026-06-05,AM,2,KODEX 200타겟위클리커버드콜,,AI/소프트웨어,83.0,"26,245","23,595",2026-06-08 19:33:30,3.0,-10.10%,-1.71%,-9.74%,,0.00%,-10.10%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-05_AM_3_KODEX 삼성전자채권혼합,2026-06-05,AM,3,KODEX 삼성전자채권혼합,,AI/소프트웨어,83.0,"18,280","17,650",2026-06-08 10:59:29,3.0,-3.45%,-3.45%,-3.45%,,0.00%,-3.45%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-05_AM_4_TIGER 은행고배당플러스TOP10,2026-06-05,AM,4,TIGER 은행고배당플러스TOP10,,AI/소프트웨어,81.0,"26,175","26,175",2026-06-05 11:49:52,0.0,0.00%,,,,0.00%,0.00%,tracking,,,,,,,,,,,,,,,,,
2026-06-05_AM_5_TIGER LG그룹플러스,2026-06-05,AM,5,TIGER LG그룹플러스,,AI/소프트웨어,86.0,"15,080","15,140",2026-06-07 04:37:24,2.0,0.40%,0.40%,,,0.40%,0.00%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-05_AM_6_1Q K반도체TOP2+,2026-06-05,AM,6,1Q K반도체TOP2+,,반도체/전자부품,70.0,"118,300","118,300",2026-06-05 11:49:52,0.0,0.00%,,,,0.00%,0.00%,tracking,,,,,,,,,,,,,,,,,
2026-06-05_AM_7_SK네트웍스,2026-06-05,AM,7,SK네트웍스,,도매,69.0,"11,130","14,170",2026-06-08 19:33:30,3.0,27.31%,-2.07%,17.25%,,27.31%,-2.07%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-05_AM_8_진양화학,2026-06-05,AM,8,진양화학,,고무/플라스틱,69.0,"2,255","2,255",2026-06-05 11:49:52,0.0,0.00%,,,,0.00%,0.00%,tracking,,,,,,,,,,,,,,,,,
2026-06-05_AM_9_M83,2026-06-05,AM,9,M83,,미디어/콘텐츠,66.0,"7,170","7,170",2026-06-05 11:49:52,0.0,0.00%,,,,0.00%,0.00%,tracking,,,,,,,,,,,,,,,,,
2026-06-05_AM_10_후성,2026-06-05,AM,10,후성,,화학,65.0,"11,540","11,630",2026-06-07 04:37:24,2.0,0.78%,0.78%,,,0.78%,0.00%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-05_AM_11_TIGER 배당커버드콜액티브,2026-06-05,AM,11,TIGER 배당커버드콜액티브,,AI/소프트웨어,57.0,"26,005","23,315",2026-06-08 19:33:30,3.0,-10.34%,-1.79%,-9.36%,,0.00%,-10.34%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-05_AM_12_KODEX 미국S&P500,2026-06-05,AM,12,KODEX 미국S&P500,,AI/소프트웨어,54.0,"26,425","25,695",2026-06-08 19:33:30,3.0,-2.76%,-0.55%,-2.12%,,0.00%,-2.76%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-05_AM_13_TIGER 미국S&P500,2026-06-05,AM,13,TIGER 미국S&P500,,AI/소프트웨어,54.0,"28,985","28,170",2026-06-08 19:33:30,3.0,-2.81%,-0.48%,-2.07%,,0.00%,-2.81%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-05_AM_14_LG디스플레이,2026-06-05,AM,14,LG디스플레이,,반도체/전자부품,59.0,"15,390","14,480",2026-06-08 12:15:17,3.0,-5.91%,-5.91%,-5.91%,,0.00%,-5.91%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-05_AM_15_SOL AI반도체소부장,2026-06-05,AM,15,SOL AI반도체소부장,,반도체,50.0,"30,240","29,440",2026-06-07 04:37:24,2.0,-2.65%,-2.65%,,,0.00%,-2.65%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-05_PM_1_ACE 미국우주테크액티브,2026-06-05,PM,1,ACE 미국우주테크액티브,,금융,99.0,"25,950","24,800",2026-06-08 12:15:17,3.0,-4.43%,0.00%,-4.24%,,0.00%,-4.43%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-05_PM_2_KODEX 200타겟위클리커버드콜,2026-06-05,PM,2,KODEX 200타겟위클리커버드콜,,AI/소프트웨어,86.0,"25,795","23,595",2026-06-08 19:33:30,3.0,-8.53%,0.00%,-8.16%,,0.00%,-8.53%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-05_PM_3_LG헬로비전,2026-06-05,PM,3,LG헬로비전,,미디어/콘텐츠,98.0,"2,525","2,525",2026-06-07 04:37:24,2.0,0.00%,0.00%,,,0.00%,0.00%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-05_PM_4_TIGER LG그룹플러스,2026-06-05,PM,4,TIGER LG그룹플러스,,AI/소프트웨어,90.0,"15,140","15,140",2026-06-07 04:37:24,2.0,0.00%,0.00%,,,0.00%,0.00%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-05_PM_5_코칩,2026-06-05,PM,5,코칩,,반도체/전자부품,85.0,"23,500","23,500",2026-06-07 04:37:24,2.0,0.00%,0.00%,,,0.00%,0.00%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-05_PM_6_라이콤,2026-06-05,PM,6,라이콤,,반도체/전자부품,80.0,"5,910","6,750",2026-06-08 19:33:30,3.0,14.21%,0.00%,25.55%,,25.55%,0.00%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-05_PM_7_아바텍,2026-06-05,PM,7,아바텍,,반도체/전자부품,75.0,"16,150","16,150",2026-06-07 04:37:24,2.0,0.00%,0.00%,,,0.00%,0.00%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-05_PM_8_TIGER 배당커버드콜액티브,2026-06-05,PM,8,TIGER 배당커버드콜액티브,,AI/소프트웨어,67.0,"25,540","23,315",2026-06-08 19:33:30,3.0,-8.71%,0.00%,-7.71%,,0.00%,-8.71%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-05_PM_9_SK네트웍스,2026-06-05,PM,9,SK네트웍스,,도매,71.0,"10,900","14,170",2026-06-08 19:33:30,3.0,30.00%,0.00%,19.72%,,30.00%,0.00%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-05_PM_10_미래에셋생명,2026-06-05,PM,10,미래에셋생명,,보험,77.0,"18,590","19,200",2026-06-08 12:15:17,3.0,3.28%,0.00%,6.89%,,6.89%,0.00%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-05_PM_11_후성,2026-06-05,PM,11,후성,,화학,69.0,"11,630","11,630",2026-06-07 04:37:24,2.0,0.00%,0.00%,,,0.00%,0.00%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-05_PM_12_TIGER 미국배당다우존스,2026-06-05,PM,12,TIGER 미국배당다우존스,,AI/소프트웨어,60.0,"15,880","15,670",2026-06-08 19:33:30,3.0,-1.32%,0.00%,-0.72%,,0.00%,-1.32%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-05_PM_13_KODEX 미국S&P500,2026-06-05,PM,13,KODEX 미국S&P500,,AI/소프트웨어,58.0,"26,280","25,695",2026-06-08 19:33:30,3.0,-2.23%,0.00%,-1.58%,,0.00%,-2.23%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-05_PM_14_TIGER 미국S&P500,2026-06-05,PM,14,TIGER 미국S&P500,,AI/소프트웨어,57.0,"28,845","28,170",2026-06-08 19:33:30,3.0,-2.34%,0.00%,-1.59%,,0.00%,-2.34%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-05_PM_15_SOL AI반도체소부장,2026-06-05,PM,15,SOL AI반도체소부장,,반도체,54.0,"29,440","29,440",2026-06-07 04:37:24,2.0,0.00%,0.00%,,,0.00%,0.00%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-06_AM_1_ACE 미국우주테크액티브,2026-06-06,AM,1,ACE 미국우주테크액티브,,금융,99.0,"25,950","24,800",2026-06-08 12:15:17,2.0,-4.43%,0.00%,,,0.00%,-4.43%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-06_AM_2_KODEX 200타겟위클리커버드콜,2026-06-06,AM,2,KODEX 200타겟위클리커버드콜,,AI/소프트웨어,86.0,"25,795","23,595",2026-06-08 19:33:30,2.0,-8.53%,0.00%,,,0.00%,-8.53%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-06_AM_3_LG헬로비전,2026-06-06,AM,3,LG헬로비전,,미디어/콘텐츠,98.0,"2,525","2,525",2026-06-07 04:37:24,1.0,0.00%,0.00%,,,0.00%,0.00%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-06_AM_4_TIGER LG그룹플러스,2026-06-06,AM,4,TIGER LG그룹플러스,,AI/소프트웨어,90.0,"15,140","15,140",2026-06-07 04:37:24,1.0,0.00%,0.00%,,,0.00%,0.00%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-06_AM_5_코칩,2026-06-06,AM,5,코칩,,반도체/전자부품,85.0,"23,500","23,500",2026-06-07 04:37:24,1.0,0.00%,0.00%,,,0.00%,0.00%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-06_AM_6_라이콤,2026-06-06,AM,6,라이콤,,반도체/전자부품,80.0,"5,910","6,750",2026-06-08 19:33:30,2.0,14.21%,0.00%,,,25.55%,0.00%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-06_AM_7_아바텍,2026-06-06,AM,7,아바텍,,반도체/전자부품,75.0,"16,150","16,150",2026-06-07 04:37:24,1.0,0.00%,0.00%,,,0.00%,0.00%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-06_AM_8_TIGER 배당커버드콜액티브,2026-06-06,AM,8,TIGER 배당커버드콜액티브,,AI/소프트웨어,67.0,"25,540","23,315",2026-06-08 19:33:30,2.0,-8.71%,0.00%,,,0.00%,-8.71%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-06_AM_9_SK네트웍스,2026-06-06,AM,9,SK네트웍스,,도매,71.0,"10,900","14,170",2026-06-08 19:33:30,2.0,30.00%,0.00%,,,30.00%,0.00%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-06_AM_10_미래에셋생명,2026-06-06,AM,10,미래에셋생명,,보험,77.0,"18,590","19,200",2026-06-08 12:15:17,2.0,3.28%,0.00%,,,6.89%,0.00%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-06_AM_11_후성,2026-06-06,AM,11,후성,,화학,69.0,"11,630","11,630",2026-06-07 04:37:24,1.0,0.00%,0.00%,,,0.00%,0.00%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-06_AM_12_TIGER 미국배당다우존스,2026-06-06,AM,12,TIGER 미국배당다우존스,,AI/소프트웨어,60.0,"15,880","15,670",2026-06-08 19:33:30,2.0,-1.32%,0.00%,,,0.00%,-1.32%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-06_AM_13_KODEX 미국S&P500,2026-06-06,AM,13,KODEX 미국S&P500,,AI/소프트웨어,58.0,"26,280","25,695",2026-06-08 19:33:30,2.0,-2.23%,0.00%,,,0.00%,-2.23%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-06_AM_14_TIGER 미국S&P500,2026-06-06,AM,14,TIGER 미국S&P500,,AI/소프트웨어,57.0,"28,845","28,170",2026-06-08 19:33:30,2.0,-2.34%,0.00%,,,0.00%,-2.34%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-06_AM_15_SOL AI반도체소부장,2026-06-06,AM,15,SOL AI반도체소부장,,반도체,54.0,"29,440","29,440",2026-06-07 04:37:24,1.0,0.00%,0.00%,,,0.00%,0.00%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-07_AM_1_ACE 미국우주테크액티브,2026-06-07,AM,1,ACE 미국우주테크액티브,,금융,99.0,"25,950","24,800",2026-06-08 12:15:17,1.0,-4.43%,-4.24%,,,0.00%,-4.43%,tracking_updated,,,,,,,,,,,,,,,,,
