recommendation_id,recommend_date,session,rank,stock_name,stock_code,sector,score,recommend_price,latest_price,latest_update_kst,age_days,latest_return_pct,d1_return_pct,d3_return_pct,d5_return_pct,max_observed_return_pct,min_observed_return_pct,status
2026-06-11_PM_8_샘씨엔에스,2026-06-11,PM,8,샘씨엔에스,,반도체/전자부품,73.0,"14,420","16,320",2026-06-13 03:01:50,2,13.18%,0.00%,,,13.18%,0.00%,tracking_updated
2026-06-11_PM_7_에이팩트,2026-06-11,PM,7,에이팩트,,반도체/전자부품,80.0,"10,170","11,500",2026-06-13 03:01:50,2,13.08%,0.00%,,,13.08%,0.00%,tracking_updated
2026-06-11_PM_6_화신정공,2026-06-11,PM,6,화신정공,,자동차/부품,80.0,"4,610","4,895",2026-06-13 03:01:50,2,6.18%,0.00%,,,6.18%,0.00%,tracking_updated
2026-06-11_PM_5_대원강업,2026-06-11,PM,5,대원강업,,자동차/부품,91.0,"4,945","4,945",2026-06-12 04:12:51,1.0,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-11_PM_4_TIGER 미국S&P500(H),2026-06-11,PM,4,TIGER 미국S&P500(H),,AI/소프트웨어,85.0,"17,000","17,000",2026-06-12 04:12:51,1.0,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-11_PM_3_SOL 반도체전공정,2026-06-11,PM,3,SOL 반도체전공정,,반도체,95.0,"27,735","27,735",2026-06-12 04:12:51,1.0,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-11_PM_2_후성,2026-06-11,PM,2,후성,,화학,100.0,"15,770","19,010",2026-06-13 03:01:50,2,20.55%,0.00%,,,20.55%,0.00%,tracking_updated
2026-06-11_PM_15_한켐,2026-06-11,PM,15,한켐,,화학,65.0,"12,090","12,090",2026-06-12 04:12:51,1.0,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-11_PM_14_KODEX 200타겟위클리커버드콜,2026-06-11,PM,14,KODEX 200타겟위클리커버드콜,,AI/소프트웨어,52.0,"24,550","25,050",2026-06-13 03:01:50,2,2.04%,0.00%,,,2.04%,0.00%,tracking_updated
2026-06-11_PM_13_KODEX 미국S&P500,2026-06-11,PM,13,KODEX 미국S&P500,,AI/소프트웨어,55.0,"25,245","25,420",2026-06-13 03:01:50,2,0.69%,0.00%,,,0.69%,0.00%,tracking_updated
2026-06-11_PM_12_엠케이전자,2026-06-11,PM,12,엠케이전자,,반도체/전자부품,65.0,"28,000","28,000",2026-06-12 04:12:51,1.0,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-11_PM_11_라이콤,2026-06-11,PM,11,라이콤,,반도체/전자부품,67.0,"8,790","8,790",2026-06-12 04:12:51,1.0,0.00%,0.00%,,,0.00%,0.00%,tracking_updated
2026-06-11_PM_10_TIGER 미국S&P500,2026-06-11,PM,10,TIGER 미국S&P500,,AI/소프트웨어,64.0,"27,695","27,880",2026-06-13 03:01:50,2,0.67%,0.00%,,,0.67%,0.00%,tracking_updated
2026-06-11_PM_1_ACE 미국우주테크액티브,2026-06-11,PM,1,ACE 미국우주테크액티브,,금융,100.0,"27,950","25,900",2026-06-13 03:01:50,2,-7.33%,0.00%,,,0.00%,-7.33%,tracking_updated
2026-06-11_AM_9_SK네트웍스,2026-06-11,AM,9,SK네트웍스,,도매,68.0,"12,950","12,950",2026-06-11 03:38:05,0.0,0.00%,,,,0.00%,0.00%,tracking
2026-06-11_AM_8_TIGER 미국배당다우존스,2026-06-11,AM,8,TIGER 미국배당다우존스,,AI/소프트웨어,62.0,"15,585","15,585",2026-06-11 03:38:05,0.0,0.00%,,,,0.00%,0.00%,tracking
2026-06-11_AM_7_TIGER 미국S&P500,2026-06-11,AM,7,TIGER 미국S&P500,,AI/소프트웨어,62.0,"27,875","27,880",2026-06-13 03:01:50,2,0.02%,-0.65%,,,0.02%,-0.65%,tracking_updated
2026-06-11_AM_6_알트,2026-06-11,AM,6,알트,,반도체/전자부품,78.0,"1,902","1,902",2026-06-11 03:38:05,0.0,0.00%,,,,0.00%,0.00%,tracking
2026-06-11_AM_5_SOL 반도체전공정,2026-06-11,AM,5,SOL 반도체전공정,,반도체,74.0,"24,470","27,735",2026-06-12 04:12:51,1.0,13.34%,13.34%,,,13.34%,0.00%,tracking_updated
2026-06-11_AM_4_ACE 미국우주테크액티브,2026-06-11,AM,4,ACE 미국우주테크액티브,,금융,68.0,"25,300","25,900",2026-06-13 03:01:50,2,2.37%,10.47%,,,10.47%,0.00%,tracking_updated
