recommendation_id,recommend_date,session,rank,stock_name,stock_code,sector,score,recommend_price,latest_price,latest_update_kst,age_days,latest_return_pct,d1_return_pct,d3_return_pct,d5_return_pct,max_observed_return_pct,min_observed_return_pct,status,signal_id,snapshot_date,snapshot_time,recommendation_model,recommendation_model_name,entry_model,entry_price,source,observed_count,latest_observed_price,latest_observed_at,max_observed_price,min_observed_price,max_return_pct,min_return_pct,days_elapsed,note
2026-06-05_AM_12_RISE 200위클리커버드콜,2026-06-05,AM,12,RISE 200위클리커버드콜,,AI/소프트웨어,55.0,"15,255","14,200",2026-06-09 03:47:29,4.0,-6.92%,-6.23%,-6.23%,,0.00%,-6.92%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-05_AM_13_KODEX 미국S&P500,2026-06-05,AM,13,KODEX 미국S&P500,,AI/소프트웨어,54.0,"26,377","25,245",2026-06-12 04:12:51,7.0,-4.29%,-0.37%,-1.94%,-3.67%,0.18%,-4.29%,complete_5d,,,,,,,,,,,,,,,,,
2026-06-05_AM_14_TIGER 미국S&P500,2026-06-05,AM,14,TIGER 미국S&P500,,AI/소프트웨어,54.0,"28,940","27,695",2026-06-12 04:12:51,7.0,-4.30%,-0.33%,-1.92%,-3.68%,0.16%,-4.30%,complete_5d,,,,,,,,,,,,,,,,,
2026-06-05_AM_15_LG디스플레이,2026-06-05,AM,15,LG디스플레이,,반도체/전자부품,59.0,"14,850","14,480",2026-06-08 12:15:17,3.0,-2.49%,-2.49%,-2.49%,,3.64%,-2.49%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-05_AM_2_KODEX 200타겟위클리커버드콜,2026-06-05,AM,2,KODEX 200타겟위클리커버드콜,,AI/소프트웨어,83.0,"26,245","24,550",2026-06-12 04:12:51,7.0,-6.46%,-1.71%,-9.74%,-2.76%,0.00%,-10.10%,complete_5d,,,,,,,,,,,,,,,,,
2026-06-05_AM_3_KODEX 삼성전자채권혼합,2026-06-05,AM,3,KODEX 삼성전자채권혼합,,AI/소프트웨어,83.0,"18,280","17,650",2026-06-08 10:59:29,3.0,-3.45%,-3.45%,-3.45%,,0.00%,-3.45%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-05_AM_4_TIGER 은행고배당플러스TOP10,2026-06-05,AM,4,TIGER 은행고배당플러스TOP10,,AI/소프트웨어,81.0,"26,175","26,175",2026-06-05 11:49:52,0.0,0.00%,,,,0.00%,0.00%,tracking,,,,,,,,,,,,,,,,,
2026-06-05_AM_5_TIGER LG그룹플러스,2026-06-05,AM,5,TIGER LG그룹플러스,,AI/소프트웨어,86.0,"15,080","15,140",2026-06-07 04:37:24,2.0,0.40%,0.40%,,,0.40%,0.00%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-05_AM_6_1Q K반도체TOP2+,2026-06-05,AM,6,1Q K반도체TOP2+,,반도체/전자부품,70.0,"118,300","118,300",2026-06-05 11:49:52,0.0,0.00%,,,,0.00%,0.00%,tracking,,,,,,,,,,,,,,,,,
2026-06-05_AM_7_SK네트웍스,2026-06-05,AM,7,SK네트웍스,,도매,69.0,"11,130","12,950",2026-06-11 03:38:05,6.0,16.35%,-2.07%,17.25%,16.35%,27.31%,-2.07%,complete_5d,,,,,,,,,,,,,,,,,
2026-06-05_AM_8_진양화학,2026-06-05,AM,8,진양화학,,고무/플라스틱,69.0,"2,255","2,255",2026-06-05 11:49:52,0.0,0.00%,,,,0.00%,0.00%,tracking,,,,,,,,,,,,,,,,,
2026-06-05_AM_9_M83,2026-06-05,AM,9,M83,,미디어/콘텐츠,66.0,"7,170","7,170",2026-06-05 11:49:52,0.0,0.00%,,,,0.00%,0.00%,tracking,,,,,,,,,,,,,,,,,
2026-06-05_AM_10_후성,2026-06-05,AM,10,후성,,화학,65.0,"11,540","15,770",2026-06-12 04:12:51,7.0,36.66%,0.78%,15.86%,17.16%,40.73%,0.00%,complete_5d,,,,,,,,,,,,,,,,,
2026-06-05_AM_11_TIGER 배당커버드콜액티브,2026-06-05,AM,11,TIGER 배당커버드콜액티브,,AI/소프트웨어,57.0,"26,005","24,180",2026-06-11 03:38:05,6.0,-7.02%,-1.79%,-9.36%,-2.35%,0.00%,-10.34%,complete_5d,,,,,,,,,,,,,,,,,
2026-06-05_AM_12_KODEX 미국S&P500,2026-06-05,AM,12,KODEX 미국S&P500,,AI/소프트웨어,54.0,"26,425","25,245",2026-06-12 04:12:51,7.0,-4.47%,-0.55%,-2.12%,-3.84%,0.00%,-4.47%,complete_5d,,,,,,,,,,,,,,,,,
2026-06-05_AM_13_TIGER 미국S&P500,2026-06-05,AM,13,TIGER 미국S&P500,,AI/소프트웨어,54.0,"28,985","27,695",2026-06-12 04:12:51,7.0,-4.45%,-0.48%,-2.07%,-3.83%,0.00%,-4.45%,complete_5d,,,,,,,,,,,,,,,,,
2026-06-05_AM_14_LG디스플레이,2026-06-05,AM,14,LG디스플레이,,반도체/전자부품,59.0,"15,390","14,480",2026-06-08 12:15:17,3.0,-5.91%,-5.91%,-5.91%,,0.00%,-5.91%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-05_AM_15_SOL AI반도체소부장,2026-06-05,AM,15,SOL AI반도체소부장,,반도체,50.0,"30,240","29,440",2026-06-07 04:37:24,2.0,-2.65%,-2.65%,,,0.00%,-2.65%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-05_PM_1_ACE 미국우주테크액티브,2026-06-05,PM,1,ACE 미국우주테크액티브,,금융,99.0,"25,950","27,950",2026-06-12 04:12:51,7.0,7.71%,0.00%,-4.24%,-2.50%,7.71%,-4.43%,complete_5d,,,,,,,,,,,,,,,,,
2026-06-05_PM_2_KODEX 200타겟위클리커버드콜,2026-06-05,PM,2,KODEX 200타겟위클리커버드콜,,AI/소프트웨어,86.0,"25,795","24,550",2026-06-12 04:12:51,7.0,-4.83%,0.00%,-8.16%,-1.07%,0.00%,-8.53%,complete_5d,,,,,,,,,,,,,,,,,
2026-06-05_PM_3_LG헬로비전,2026-06-05,PM,3,LG헬로비전,,미디어/콘텐츠,98.0,"2,525","2,365",2026-06-10 02:57:04,5.0,-6.34%,0.00%,-6.73%,-6.34%,0.00%,-6.73%,complete_5d,,,,,,,,,,,,,,,,,
2026-06-05_PM_4_TIGER LG그룹플러스,2026-06-05,PM,4,TIGER LG그룹플러스,,AI/소프트웨어,90.0,"15,140","15,140",2026-06-07 04:37:24,2.0,0.00%,0.00%,,,0.00%,0.00%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-05_PM_5_코칩,2026-06-05,PM,5,코칩,,반도체/전자부품,85.0,"23,500","23,500",2026-06-07 04:37:24,2.0,0.00%,0.00%,,,0.00%,0.00%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-05_PM_6_라이콤,2026-06-05,PM,6,라이콤,,반도체/전자부품,80.0,"5,910","8,790",2026-06-12 04:12:51,7.0,48.73%,0.00%,25.55%,48.73%,48.73%,0.00%,complete_5d,,,,,,,,,,,,,,,,,
2026-06-05_PM_7_아바텍,2026-06-05,PM,7,아바텍,,반도체/전자부품,75.0,"16,150","16,150",2026-06-07 04:37:24,2.0,0.00%,0.00%,,,0.00%,0.00%,tracking_updated,,,,,,,,,,,,,,,,,
2026-06-05_PM_8_TIGER 배당커버드콜액티브,2026-06-05,PM,8,TIGER 배당커버드콜액티브,,AI/소프트웨어,67.0,"25,540","24,180",2026-06-11 03:38:05,6.0,-5.32%,0.00%,-7.71%,-0.57%,0.00%,-8.71%,complete_5d,,,,,,,,,,,,,,,,,
